k rms rms/rms0 
92 2.880580259283555 0.07023434318522338 
93 2.798709722716964 0.06823817475928046 
94 2.7191673737917723 0.06629877223294356 
95 2.641887127453565 0.06441452431960606 
96 2.5668047694059197 0.06258386534550557 
97 2.4938579033118415 0.060805273962388794 
98 2.422985899481622 0.05907727189641819 
99 2.3541298450050188 0.05739842273229423 
100 2.287232495287515 0.055767330731611824 
101 2.222238226950803 0.05418263968447937 
102 2.159092992059148 0.0526430317934654 
103 2.097744273634614 0.05114722658897024 
104 2.0381410424244835 0.04969397987512874 
105 1.980233714885966 0.0482820827053929 
106 1.9239741123538365 0.04691036038695675 
107 1.8693154213577574 0.045577671513212785 
108 1.816212155057045 0.044282907023453985 
109 1.7646201157612424 0.043024989289049964 
110 1.7144963585063018 0.04180287122536098 
111 1.6657991556565055 0.040615535428661566 
112 1.6184879625032258 0.03946199333736907 
113 1.5725233838327752 0.03834128441690054 
114 1.5278671414358973 0.03725247536748877 
115 1.4844820425325203 0.03619465935431422 
116 1.442331949086032 0.03516695525932532 
117 1.4013817479821447 0.03416850695413917 
118 1.3615973220479716 0.03319848259342833 
119 1.3229455218877855 0.03225607392821989 
120 1.2853941385125098 0.03134049563854746 
121 1.2489118767405318 0.03045098468490941 
122 1.213468329348361 0.029586799678009937 
123 1.1790339519498978 0.02874722026626507 
124 1.1455800385839163 0.02793154654057639 
125 1.1130786979898868 0.02713909845588784 
126 1.0815028305527015 0.026369215269051737 
127 1.0508261058976198 0.02562125499254846 
128 1.0210229411171063 0.024894593863612945 
129 0.9920684796117925 0.024188625828334753 
130 0.963938570528338 0.02350276204031176 
131 0.9366097487773867 0.0228364303734477 
132 0.9100592156153614 0.022189074948497266 
133 0.884264819774134 0.021560155672969476 
134 0.8592050391233783 0.020949147794018956 
135 0.8348589628503363 0.020355541463952756 
136 0.8112062741427754 0.019778841318006023 
137 0.7882272333607316 0.019218566064035245 
138 0.7659026616833945 0.018674248083796367 
139 0.7442139252178078 0.018145433045482957 
140 0.72314291955633 0.01763167952720602 
141 0.7026720547702567 0.017132558651108312 
142 0.6827842408273288 0.016647653727813835 
143 0.6634628734212217 0.016176559910922293 
144 0.6446918202013906 0.01571888386126499 
145 0.626455407392043 0.015274243420648459 
146 0.6087384067892395 0.014842267294817618 
147 0.591526023125508 0.014422594745379635 
148 0.5748038817916585 0.014014875290437075 
149 0.5585580169056442 0.013618768413682706 
150 0.5427748597188157 0.013233943281720667 
151 0.527441227349954 0.012860078469379513 
152 0.5125443118379659 0.012496861692794896 
153 0.4980716695041371 0.012143989550039903 
154 0.4840112106153384 0.011801167269093207 
155 0.470351189339645 0.011468108462936865 
156 0.4570801939861061 0.01114453489158226 
157 0.4441871375207485 0.010830176230831176 
158 0.4316612483509072 0.010524769847579243 
159 0.4194920613704362 0.010228060581480153 
160 0.40766940925832934 0.009939800532788524 
161 0.3961834140237437 0.009659748856210565 
162 0.3850244787902945 0.009387671560588649 
163 0.37418327981307586 0.009123341314260208 
164 0.36365075872168473 0.00886653725592706 
165 0.3534181149829282 0.008617044810881038 
166 0.34347679857705227 0.008374655512435719 
167 0.33381850288139786 0.00813916682841562 
168 0.32443515775567694 0.007910381992561338 
169 0.315318922823152 0.007688109840711167 
170 0.3064621809422224 0.0074721646516252484 
171 0.29785753186299135 0.007262365992319905 
172 0.289497786063635 0.007058538567785914 
173 0.2813759587614704 0.006860512074966297 
174 0.2734852640937999 0.006668121060873594 
175 0.2658191094637289 0.006481204784729526 
