k rms rms/rms0 
135 9.170861224405396 0.6519122317611911 
136 9.165341156486212 0.6515198367931927 
137 9.159824407515028 0.651127677753178 
138 9.15431097553152 0.650735754501797 
139 9.148800858576045 0.6503440668997483 
140 9.143294054689429 0.6499526148077636 
141 9.137790561913 0.6495613980866104 
142 9.132290378288571 0.6491704165970905 
143 9.126793501858737 0.6487796702000616 
144 9.121299930666364 0.6483891587564005 
145 9.115809662755066 0.6479988821270369 
146 9.11032269616917 0.6476088401729518 
147 9.104839028953384 0.6472190327551528 
148 9.099358659153264 0.6468294597347078 
149 9.093881584814898 0.6464401209727229 
150 9.088407803985088 0.6460510163303544 
151 9.082937314711153 0.6456621456687958 
152 9.077470115041326 0.6452735088493053 
153 9.07200620302433 0.6448851057331763 
154 9.06654557670978 0.6444969361817651 
155 9.061088234147789 0.6441090000564637 
156 9.055634173389402 0.6437212972187302 
157 9.050183392486272 0.6433338275300662 
158 9.044735889490822 0.6429465908520279 
159 9.03929166245618 0.6425595870462213 
160 9.033850709436381 0.6421728159743175 
161 9.028413028486069 0.6417862774980303 
162 9.022978617660788 0.6413999714791377 
163 9.01754747501673 0.6410138977794639 
164 9.012119598611001 0.6406280562608979 
165 9.00669498650157 0.6402424467853901 
166 9.001273636746967 0.6398570692149308 
167 8.99585554740674 0.6394719234115824 
168 8.990440716541206 0.6390870092374628 
169 8.985029142211534 0.6387023265547491 
170 8.979620822479728 0.6383178752256791 
171 8.974215755408604 0.6379336551125474 
172 8.968813939061738 0.6375496660777032 
173 8.963415371503798 0.6371659079835731 
174 8.958020050800178 0.636782380692635 
175 8.952627975017014 0.6363990840674203 
176 8.947239142221493 0.6360160179705343 
177 8.941853550481715 0.6356331822646477 
178 8.936471197866402 0.6352505768124752 
179 8.931092082445419 0.634868201476813 
180 8.92571620228953 0.6344860561205209 
181 8.920343555470094 0.634104140606501 
182 8.914974140059767 0.633722454797748 
183 8.909607954131815 0.6333409985572994 
184 8.904244995760568 0.6329597717482689 
185 8.898885263021208 0.6325787742338304 
186 8.893528753989857 0.6321980058772245 
187 8.888175466743514 0.6318174665417545 
188 8.882825399360177 0.6314371560907948 
189 8.877478549918754 0.6310570743877837 
190 8.872134916499036 0.6306772212962233 
191 8.86679449718183 0.6302975966796873 
192 8.86145729004883 0.6299182004018125 
193 8.856123293182657 0.6295390323263017 
194 8.850792504666966 0.6291600923169313 
195 8.845464922586219 0.6287813802375348 
196 8.840140545025962 0.628402895952023 
197 8.834819370072681 0.6280246393243736 
198 8.829501395813773 0.6276466102186287 
199 8.824186620337594 0.6272688084988985 
200 8.818875041733534 0.6268912340293675 
201 8.813566658091833 0.6265138866742799 
202 8.808261467503796 0.6261367662979556 
203 8.8029594680617 0.6257598727647838 
204 8.797660657858795 0.6253832059392231 
205 8.792365034989253 0.6250067656857972 
206 8.787072597548315 0.6246305518691061 
207 8.781783343631991 0.6242545643538042 
208 8.776497271337568 0.623878803004637 
209 8.77121437876318 0.6235032676864098 
210 8.765934664007974 0.6231279582640004 
211 8.760658125171977 0.6227528746023487 
212 8.755384760356353 0.6223780165664757 
213 8.750114567663225 0.6220033840214705 
214 8.744847545195674 0.6216289768324902 
215 8.739583691057765 0.6212547948647622 
216 8.734323003354605 0.6208808379835874 
217 8.72906548019237 0.620507106054343 
218 8.723811119678086 0.6201335989424668 
219 8.718559919919862 0.6197603165134734 
220 8.713311879026854 0.6193872586329517 
221 8.708066995109162 0.619014425166558 
222 8.702825266277873 0.6186418159800186 
223 8.697586690645174 0.6182694309391377 
224 8.692351266324245 0.6178972699097907 
225 8.687118991429218 0.6175253327579201 
